chunk_id	standard	version	req_id	regex_label	page	human_label	body_preview
e7f28666-9ee6-431c-a34d-e223231d8eb1	CIP-002	5		informational	1	0	A. Introduction  1. Title:  Cyber Security — BES Cyber System Categorization   2. Number:  CIP-002-5.1a  3. Purpose:  To identify and categorize BES Cyber Systems and their associated BES  Cyber Assets for the application of cyber security requirements commensurate with  the adverse impact that loss, compromise, or misuse of those BES Cyber Systems  could have on the reliable operation of the BES.... 
b9950cf1-4d03-4d25-9ead-f5240072ec93	CIP-002	5		informational	1	0	Each Protection System (excluding UFLS and UVLS) that applies to  Transmission where the Protection System is subject to one or more  requirements in a NERC or Regional Reliability Standard. 4.1.2.4. Each Cranking Path and group of Elements meeting the initial switching  requirements from a Blackstart Resource up to and including the first  interconnection point of the starting station service of ...
f2a3ff1a-47ad-4b6f-83a1-12902882de1a	CIP-002	5		shall	1	0	Each Protection System (excluding UFLS and UVLS) that applies to  Transmission where the Protection System is subject to one or more  requirements in a NERC or Regional Reliability Standard. 4.2.1.4. Each Cranking Path and group of Elements meeting the initial switching  requirements from a Blackstart Resource up to and including the first  interconnection point of the starting station service of ...
90c1ae9a-1efb-47ab-819b-947da242fdff	CIP-002	5		informational	1	0	Background:  This standard provides “bright-line” criteria for applicable Responsible Entities to  categorize their BES Cyber Systems based on the impact of their associated Facilities,  systems, and equipment, which, if destroyed, degraded, misused, or otherwise  rendered unavailable, would affect the reliable operation of the Bulk Electric System. Several concepts provide the basis for the appro...
6e3729c8-f9bf-402a-9511-a576f4fb97e6	CIP-002	5		informational	1	0	CCA CCA CCA CCA Non-Critical Cyber Asset Within an ESP Non-Critical Cyber Asset Within an ESP BES Cyber System Associated  Protected Cyber  Assets Associated  Electronic and  Physical Access  Control and  Monitoring  Systems Version 4 Cyber Assets Version 5 Cyber Assets CIP-005-4 R1.5 and  CIP-006-4 R2
e9d5ad38-128f-494b-9d17-a08d1cd70c0d	CIP-002	5		should	1	0	In transitioning from Version 4 to Version 5, a BES Cyber System can be viewed simply  as a grouping of Critical Cyber Assets (as that term is used in Version 4). The CIP Cyber  Security Standards use the “BES Cyber System” term primarily to provide a higher level  for referencing the object of a requirement. For example, it becomes possible to  apply requirements dealing with recovery and malware...
71ed76e0-62af-4c05-b6fc-08f6eff24316	CIP-002	5		may	1	0	Defining the boundary too tightly may result  in redundant paperwork and authorizations, while defining the boundary too broadly  could make the secure operation of the BES Cyber System difficult to monitor and  assess. Reliable Operation of the BES  The scope of the CIP Cyber Security Standards is restricted to BES Cyber Systems that  would impact the reliable operation of the BES. In order to id...
a1a96c33-d8b5-440c-94f0-2fb13c0f46be	CIP-002	5		informational	1	0	This time window must not include in its consideration  the activation of redundant BES Cyber Assets or BES Cyber Systems: from the cyber  security standpoint, redundancy does not mitigate cyber security vulnerabilities. Categorization Criteria  The criteria defined in Attachment 1 are used to categorize BES Cyber Systems into  impact categories. Requirement 1 only requires the discrete identifica...
f25cd13b-0208-4065-9dff-e34621cf60a4	CIP-002	5		may	1	0	Physical Access Control Systems (“PACS”)– Examples include: authentication  servers, card systems, and badge control systems. Protected Cyber Assets (“PCA”) – Examples may include, to the extent they are  within the ESP:  file servers, ftp servers, time servers, LAN switches, networked  printers, digital fault recorders, and emission monitoring systems.
03e2a239-6874-4c96-b7b8-c9dd29638108	CIP-002	5		informational	6	0	B. Requirements and Measures
